fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.9345173745173745,0.8470152024525832,0.8673090980402172,0.8660388093496212,0.834127165382897,0.8500829873662591
2,6475.0,0.9348262548262548,0.8604195542111187,0.8750049802988122,0.8600354960822447,0.8350811543371204,0.8475583252096826
3,6475.0,0.9417760617760618,0.8622162211557431,0.8837734379850549,0.8730537820438083,0.8475565477597092,0.8603051649017588
4,6475.0,0.9362162162162162,0.8477796257242729,0.8676780727992551,0.8641807077211223,0.8358765942242645,0.8500286509726934
5,6474.0,0.9400679641643497,0.8615747997721895,0.8790610877267674,0.8665253289919257,0.8484597431820057,0.8574925360869656
mean,6474.8,0.9374807743000513,0.8558010806631815,0.8745653353700215,0.8659668248377445,0.8402202409771993,0.8530935329074719
