fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.9368339768339768,0.8610822196326633,0.8719192705738741,0.8721948644250553,0.8402945522885192,0.8562447083567872
2,6475.0,0.9379150579150579,0.8719587733712039,0.8815114879143554,0.867693508111819,0.8402825513176799,0.8539880297147495
3,6475.0,0.9413127413127413,0.8749045839274789,0.8915552851667474,0.8713647733055134,0.845339217738406,0.8583519955219597
4,6475.0,0.941003861003861,0.860050967446,0.8737966676346531,0.8737582694732816,0.8452762618088939,0.8595172656410878
5,6474.0,0.941458140253321,0.8744434708598916,0.886189937402742,0.8704868143917883,0.8497907774927622,0.8601387959422753
mean,6474.8,0.9397047554637916,0.8684880030474476,0.8809945297384744,0.8710996459414915,0.8441966721292523,0.857648159035372
