fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.9357528957528958,0.8374980690038867,0.8605746032281196,0.8676822669893951,0.8387587105861033,0.8532204887877493
2,6475.0,0.9366795366795366,0.84476371215863,0.8659236989471017,0.8653020551181124,0.8389841613462543,0.8521431082321833
3,6475.0,0.9368339768339768,0.8439900033899327,0.868181937797691,0.8590572761517598,0.8426311944233704,0.8508442352875651
4,6475.0,0.9352895752895752,0.8330967463482019,0.8534582639606637,0.861778604728257,0.8361053600272873,0.8489419823777722
5,6474.0,0.9382143960457213,0.8460518091250819,0.8647703736536435,0.8615039810955442,0.8476154085961035,0.8545596948458238
mean,6474.8,0.936554076120341,0.8410800680051466,0.862581775517444,0.8630648368166136,0.8408189669958238,0.8519419019062188
