fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.9352895752895752,0.8515884690624924,0.864861526172766,0.8702997162962837,0.8370678325312254,0.8536837744137545
2,6475.0,0.9360617760617761,0.8585850291843264,0.8716558527075232,0.8654821211756687,0.8368051554224376,0.8511436382990532
3,6475.0,0.9394594594594594,0.86555366659743,0.8835566981445595,0.8675279553938616,0.8446174274101028,0.8560726914019823
4,6475.0,0.9391505791505792,0.8527170499113562,0.8689517923227974,0.8698317002113158,0.8429861605736304,0.8564089303924731
5,6474.0,0.9411492122335496,0.8663090065422082,0.8798488025972057,0.8705504357169644,0.8488743046564693,0.8597123701867169
mean,6474.8,0.9382221204389879,0.8589506442595626,0.8737749343889704,0.8687383857588189,0.8420701761187731,0.8554042809387961
