fold,val_n,thr_fixed,UNMASK_ARI,UNMASK_V,UNMASK_Score,MASK_ARI,MASK_V,MASK_Score,ΔScore,best_iter_bin
1,6475.0,0.55,0.8683558498603103,0.8372270734746563,0.8527914616674833,0.8835978114337901,0.8474614939314543,0.8655296526826222,0.012738191015138844,166.0
2,6475.0,0.55,0.8659633904969956,0.8380918791923095,0.8520276348446525,0.8785286559058231,0.8455498337967465,0.8620392448512848,0.01001161000663231,163.0
3,6475.0,0.55,0.868294883101588,0.8447410241871384,0.8565179536443632,0.884222197448437,0.8499368256733822,0.8670795115609096,0.010561557916546338,186.0
4,6475.0,0.55,0.8697691516002233,0.8417397989434628,0.8557544752718431,0.8863633012981027,0.8513430848659284,0.8688531930820156,0.013098717810172467,178.0
5,6474.0,0.55,0.8733782853743879,0.8502551560005644,0.8618167206874762,0.8806054429215066,0.8539430851182708,0.8672742640198887,0.005457543332412551,163.0
mean,6474.8,0.55,0.8691523120867011,0.8424109863596263,0.8557816492231636,0.8826634818015318,0.8496468646771564,0.8661551732393441,0.010373524016180502,171.2
