fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.934980694980695,0.8581367822303106,0.8696674740344681,0.8675537310244149,0.836371541019731,0.8519626360220729
2,6475.0,0.9372972972972973,0.8703449459699013,0.8802707914182262,0.8667003992259814,0.8382353200111076,0.8524678596185444
3,6475.0,0.9405405405405406,0.8698359381143493,0.8875716013678909,0.8693658385348256,0.8451898175147183,0.8572778280247719
4,6475.0,0.938996138996139,0.8582258795483706,0.8726686109218562,0.8693418476005726,0.8414063425001149,0.8553740950503438
5,6474.0,0.9437751004016064,0.8787091945114044,0.8919699429200908,0.8764370549626482,0.8525637059991393,0.8645003804808937
mean,6474.8,0.9391179544432557,0.8670505480748674,0.8804296841325063,0.8698797742696887,0.8427533454089623,0.8563165598393253
