fold,model,ARI,V,Score
1,LGBM,0.8871414459025164,0.8532309659968383,0.8701862059496774
1,KNN,0.8857106990087694,0.8497954666299621,0.8677530828193658
2,LGBM,0.8826442608619827,0.8522806165107745,0.8674624386863785
2,KNN,0.8821434992872574,0.8485612770985608,0.865352388192909
3,LGBM,0.8815834813815842,0.8522063823754606,0.8668949318785224
3,KNN,0.8797999174018464,0.8501822914888287,0.8649911044453376
4,LGBM,0.8880480183612339,0.8582927103680515,0.8731703643646427
4,KNN,0.8853366149217724,0.8523612633413342,0.8688489391315533
5,LGBM,0.8826325208520447,0.8602805957851442,0.8714565583185945
5,KNN,0.8772660184419158,0.8525000432688576,0.8648830308553868
1,ENSEMBLE,0.8868493423196854,0.8550699576806008,0.8709596500001431
2,ENSEMBLE,0.8837722719929689,0.8528635801299589,0.868317926061464
3,ENSEMBLE,0.8827741602627558,0.853871146865163,0.8683226535639594
4,ENSEMBLE,0.8854004657445126,0.8543332717779154,0.869866868761214
5,ENSEMBLE,0.881582735217893,0.858544763612669,0.870063749415281
