fold,model,ARI,V,Score
1,LGBM,0.8910442143470434,0.8575664004410658,0.8743053073940545
1,KNN,0.8871501032890414,0.8514851933691283,0.8693176483290849
2,LGBM,0.880427835486893,0.8519692630637533,0.8661985492753231
2,KNN,0.8804426654376128,0.8487982986950213,0.864620482066317
3,LGBM,0.8868046110494683,0.8581702085542844,0.8724874098018763
3,KNN,0.8804210652923404,0.8503593912581046,0.8653902282752225
4,LGBM,0.8839633488437343,0.855084671092405,0.8695240099680697
4,KNN,0.8843921981613326,0.8517656049775946,0.8680789015694637
5,LGBM,0.8868484151881452,0.8634992145405377,0.8751738148643414
5,KNN,0.8808711238517286,0.8576082602873186,0.8692396920695236
1,ENSEMBLE,0.8904897999264508,0.8565486067007569,0.8735192033136039
2,ENSEMBLE,0.88068899539342,0.8510644479424312,0.8658767216679256
3,ENSEMBLE,0.8850472893209423,0.8535679875224766,0.8693076384217095
4,ENSEMBLE,0.8842264815422891,0.8538160276241241,0.8690212545832066
5,ENSEMBLE,0.8860657390822836,0.8631745814704734,0.8746201602763786
