fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.9371428571428572,0.8585936747526447,0.8718252690420767,0.8722198078325245,0.8413155910699656,0.856767699451245
2,6475.0,0.9388416988416989,0.8700302037564245,0.8817208155737012,0.8707517837907789,0.8421625278862193,0.856457155838499
3,6475.0,0.9411583011583011,0.8697523356444695,0.8868908233056026,0.8730358112015633,0.8461774108403337,0.8596066110209485
4,6475.0,0.9397683397683397,0.8583443827364449,0.8730778371468794,0.8714759935541163,0.8425180063756713,0.8569969999648939
5,6474.0,0.9459375965400062,0.878521974588653,0.8923103760120594,0.8806539923511757,0.857122689651962,0.8688883410015689
mean,6474.8,0.9405697586902406,0.8670485142957274,0.8811650242160638,0.8736274777460318,0.8458592451648304,0.8597433614554312
