fold,model,ARI,V,Score
1,LGBM,0.8914499855333957,0.8562366435454006,0.8738433145393982
1,KNN,0.8846187858239392,0.8540627190512872,0.8693407524376131
2,LGBM,0.8833183816166275,0.854736921000723,0.8690276513086752
2,KNN,0.8766013203336174,0.8473264631334932,0.8619638917335553
3,LGBM,0.8855600194838472,0.8557176705107988,0.870638844997323
3,KNN,0.878111067532023,0.8523322503714555,0.8652216589517392
4,LGBM,0.8895553068641643,0.8574118783975402,0.8734835926308522
4,KNN,0.8804658405962433,0.8520247758277277,0.8662453082119855
5,LGBM,0.8830595214918544,0.8591354135815824,0.8710974675367185
5,KNN,0.8756640154405774,0.8555921497992891,0.8656280826199332
1,ENSEMBLE,0.8924180493179773,0.8592258380100514,0.8758219436640143
2,ENSEMBLE,0.8819469811416452,0.852599002003765,0.8672729915727051
3,ENSEMBLE,0.8833815941444761,0.8544911885273544,0.8689363913359153
4,ENSEMBLE,0.8893326191282093,0.8602079844557102,0.8747703017919597
5,ENSEMBLE,0.8817412947632227,0.8585670553584214,0.870154175060822
