fold,val_n,ACC,BalACC,F1_macro,ARI,V,Score
1,6475.0,0.934980694980695,0.8364568219930625,0.8577163270257264,0.8666861931973306,0.8386440201372594,0.852665106667295
2,6475.0,0.9376061776061776,0.8516316714404799,0.8726001504138285,0.8672167357204698,0.8400949435821655,0.8536558396513176
3,6475.0,0.9371428571428572,0.8454953834987307,0.8690739449704841,0.8602552679904565,0.8427682566900432,0.8515117623402498
4,6475.0,0.9360617760617761,0.8395399679458136,0.8609474876115869,0.8629129895616942,0.8384608047893362,0.8506868971755152
5,6474.0,0.9397590361445783,0.8484615988152419,0.8682540947892042,0.8655982946692914,0.8490062129844627,0.8573022538268771
mean,6474.8,0.9371101083872169,0.8443170887386657,0.8657184009621661,0.8645338962278485,0.8417948476366532,0.853164371932251
